,Name,latitude,longitude
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
0,McDonald's - Good Earth,14.59968074,120.9813703
1,Jollibee - Raon,14.6007231,120.98439648
2,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.98413149999999
3,Chowking - Paterno,14.5994997,120.98417191111112
4,Subway - UST Campus [Available for LONG-DISTANCE DELIVERY],14.610537908571429,120.9902518
5,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622557,120.9900343411054
6,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.597299399999999,120.9780227
7,KFC - Sta Cruz,14.599968222336393,120.98002192
